3,11,16,11,10,7.0,3.0,26.0,26.0,0.0,0.0,7.0,11.0,28.0,7.0,26.0,11.0,16.0,7.0,28.0,28.0,8.0,16.0,7.0,7.0,16.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7,13,21,13,7.0,1.0,12.0,20.0,12.0,20.0,20.0,20.0,13.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,1,1,27,1.0,1.0,1.0,12.0,1.0,29.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,19,12,12,20.0,12.0,17.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,3,14,14.0,14.0,27.0,14.0,14.0,14.0,29.0,9.0,14.0,14.0,27.0,3.0,28.0,29.0,14.0,3.0,18.0,28.0,3.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,8,8,1,29.0,23.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,16,12,20,1.0,21.0,1.0,12.0,13.0,21.0,12.0,27.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,13,8,29,11.0,10.0,29.0,29.0,13.0,12.0,8.0,20.0,11.0,18.0,1.0,12.0,29.0,13.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16,26,7,7,4.0,4.0,26.0,26.0,26.0,13.0,11.0,7.0,13.0,5.0,11.0,17.0,13.0,22.0,4.0,15.0,15.0,15.0,13.0,25.0,8.0,13.0,10.0,2.0,26.0,13.0,7.0,7.0,21.0,20.0,21.0,20.0,13.0,13.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,9,13,20,21.0,21.0,12.0,8.0,1.0,27.0,12.0,12.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,7,0,7.0,7.0,3.0,7.0,11.0,0.0,3.0,7.0,26.0,16.0,7.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,15,25,13,21.0,10.0,11.0,17.0,17.0,12.0,21.0,5.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,12,12,6,20.0,11.0,9.0,10.0,27.0,20.0,13.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
